consent,ai_tool_use_frequency,values_understanding,values_explainability,values_stability,values_confidence,values_top3_multi,what_matters_most,life_meaning,life_fulfilment,life_direction,life_uncertainty,future_motivation,behaviour_alignment,behaviour_conflict,behaviour_followthrough,identity_struggle,values_misaligned_areas_multi,wellbeing_cheerful,wellbeing_calm,wellbeing_active,wellbeing_fresh,wellbeing_interest,selftrust_decisions,selftrust_influence,selftrust_doubt,selftrust_compass,digital_noise_focus,digital_noise_values,digital_noise_identity,ai_influence_decisions,ai_prefer_self_judgement,ai_society_meaning,ai_train_values,ai_understand_values,ai_values_multi,age_group,work_status,education_level,country,gender,emotional_wellbeing,values_top3_multi_other,values_misaligned_areas_multi_other,ai_values_multi_other
yes,everyday,7,7,5,6,family;creativity;responsibility,My daughter,6,5,5,3,5,6,6,5,6,health;time_focus;work_career,2,2,3,1,3,5,2,2,2,5,3,4,5,4,5,5,5,honesty;non_harm;transparency,25_34,not_currently_working,some_university_college,uk,woman,3,,,
yes,rarely,6,5,6,6,honesty_integrity;health;independence,Honesty / Integrity with others.,4,4,3,5,4,6,2,4,3,relationships;digital_habits;purpose_direction,4,4,2,3,2,6,4,3,2,6,6,4,1,7,6,5,6,empathy;human_wellbeing;transparency,35_44,employed_full_time,high_school,us,man,5,,,
yes,rarely,5,4,6,5,compassion;creativity;community_contribution,My comrades,2,3,1,7,2,4,3,7,7,health;time_focus;work_career;digital_habits;finances;purpose_direction,3,3,1,2,3,3,5,6,5,5,6,6,2,7,6,4,7,human_wellbeing;non_harm,18_24,not_currently_working,high_school,ca,man,3,,,Accuracy
yes,everyday,6,6,6,7,family;health;adventure,My son,7,6,6,1,6,6,2,2,2,health;time_focus;work_career,4,4,5,4,4,7,1,2,1,4,3,2,3,6,4,5,5,honesty;fairness;responsibility,55_65,employed_full_time,bachelors_degree,ca,woman,6,,,
yes,often,7,7,7,6,family;honesty_integrity;compassion,My family and being kind to people,7,7,6,1,6,5,1,2,1,none,4,5,4,4,5,6,3,1,2,4,1,1,3,4,4,6,6,honesty;empathy;non_harm,55_65,not_currently_working,some_university_college,uk,woman,6,,,
yes,sometimes,6,6,6,6,security_stability;health;independence,Health,5,5,6,2,5,4,3,3,3,time_focus;relationships;digital_habits;purpose_direction,4,4,4,4,3,7,2,2,3,5,5,5,5,7,5,6,6,human_wellbeing;non_harm;accountability,35_44,employed_full_time,high_school,ca,man,6,,,
yes,sometimes,6,6,5,7,family;honesty_integrity;compassion,my family,3,2,2,5,1,6,2,3,3,none,2,1,2,2,2,2,3,3,2,5,2,2,2,7,7,7,7,responsibility;human_wellbeing;non_harm,45_54,employed_part_time,bachelors_degree,ca,woman,2,,,
yes,occasionally,6,5,5,5,honesty_integrity;creativity;responsibility,Love and happiness,4,3,4,6,4,4,5,6,5,digital_habits;finances,3,2,3,1,3,6,3,4,5,6,4,3,3,6,5,6,6,honesty;responsibility;non_harm,45_54,not_currently_working,some_university_college,uk,man,4,,,
yes,often,6,6,6,6,family;honesty_integrity;responsibility,Family,6,6,6,1,6,6,2,2,2,none,4,4,4,3,3,6,2,2,2,2,1,2,4,5,4,6,6,honesty;empathy;transparency,55_65,employed_full_time,postgraduate_degree,uk,man,6,,,
yes,occasionally,5,5,3,5,honesty_integrity;compassion;community_contribution,Caring for those who suffer.,1,1,1,5,1,2,6,7,7,health;time_focus;relationships;work_career;finances;purpose_direction,2,2,2,2,2,2,3,6,7,5,5,7,2,7,6,5,5,empathy;human_wellbeing;non_harm,35_44,not_currently_working,some_university_college,us,man,1,,,
yes,often,7,6,6,7,family;health;faith_spirituality,Family,7,7,7,1,7,7,1,2,3,time_focus,5,5,3,5,5,7,2,1,1,5,4,2,3,5,6,7,7,empathy;fairness;non_harm,25_34,employed_part_time,bachelors_degree,uk,woman,6,,,
yes,occasionally,5,6,7,6,honesty_integrity;security_stability;health,Feeling safe,4,5,4,3,2,4,4,5,7,time_focus;relationships;work_career,2,3,1,1,3,4,4,7,6,7,5,7,3,7,7,5,5,empathy;fairness;non_harm,45_54,employed_full_time,some_university_college,uk,woman,3,,,
yes,very_often,7,7,2,7,family;honesty_integrity;independence,"Trust, honesty and family",6,6,7,1,7,7,2,1,1,,4,5,4,4,5,7,3,1,1,3,4,1,5,7,6,7,7,honesty;fairness;accountability,55_65,employed_full_time,postgraduate_degree,uk,man,7,,Faith and spirituality,
yes,everyday,7,7,5,7,honesty_integrity;achievement_growth;compassion,Being a good person,2,2,3,2,7,7,1,3,3,health;work_career,2,2,2,2,4,5,2,2,1,7,1,3,7,4,7,7,7,honesty;empathy;respect,25_34,self_employed,bachelors_degree,uk,man,3,,,
yes,often,6,6,5,6,family;honesty_integrity;health,My family matters the most to me,6,5,5,1,6,5,1,1,1,none,4,4,4,4,4,6,3,3,1,4,3,3,4,4,2,4,5,honesty;fairness;transparency,45_54,employed_full_time,bachelors_degree,us,man,6,,,
yes,everyday,7,7,5,7,family;health;faith_spirituality,"My happiness/contentment. I believe when i am happy and content, I can give it to those around me also.",7,7,6,3,7,7,2,1,1,health;work_career;finances,4,4,3,4,4,7,1,1,1,4,3,1,6,5,5,6,7,empathy;responsibility;human_wellbeing,25_34,employed_part_time,some_university_college,ca,woman,6,,,
yes,rarely,7,7,1,7,family;health;responsibility,Health,7,7,7,1,5,6,6,1,1,none,4,4,3,3,4,7,2,2,1,1,1,1,1,7,7,7,7,honesty;responsibility;accountability,over_65,not_currently_working,less_than_high_school,uk,woman,7,,,
yes,often,5,5,3,6,family;health;adventure,try to enjoy it eg will travel  and change things for the better asap,2,2,2,6,2,2,4,6,6,time_focus;work_career;digital_habits,2,1,2,3,1,2,4,5,5,5,4,5,4,4,2,5,5,fairness;responsibility;accountability,55_65,employed_part_time,less_than_high_school,uk,woman,2,,,
yes,often,7,7,7,7,honesty_integrity;security_stability;compassion,My safety and that I am enjoying the journey of life.,7,6,7,1,7,6,1,1,1,health;work_career;digital_habits,4,4,2,2,4,7,1,1,1,6,2,1,1,7,7,7,7,empathy;human_wellbeing;transparency,55_65,employed_full_time,some_university_college,ca,woman,7,,,
yes,often,6,7,5,6,family;health;compassion,My physical and mental health being ok,3,4,3,6,4,6,2,4,4,work_career;finances,3,3,2,2,2,4,7,5,3,4,3,4,4,6,6,4,6,honesty;fairness;non_harm,35_44,self_employed,high_school,uk,woman,3,,,
yes,often,6,6,5,6,family;health;adventure,"Making sure my family are happy and safe, making the most of each day and being happy.",5,6,5,4,4,5,2,3,4,time_focus;digital_habits;finances,4,3,4,2,4,6,2,3,3,5,4,4,2,6,5,5,5,honesty;human_wellbeing;non_harm,45_54,self_employed,bachelors_degree,uk,woman,4,,,
yes,everyday,7,7,7,7,honesty_integrity;compassion;faith_spirituality,God and my family,7,5,5,4,7,7,2,2,4,time_focus;digital_habits,4,4,3,2,4,7,1,1,1,2,5,4,5,6,1,7,7,honesty;fairness;non_harm,25_34,not_currently_working,postgraduate_degree,us,woman,5,,,
yes,often,5,4,5,6,health;independence;adventure,"Self preservation, independence and maintaining a sense of adventure",2,3,2,6,3,4,3,6,6,time_focus;relationships;work_career,3,3,3,2,2,4,2,5,5,6,4,5,3,5,5,4,6,responsibility;non_harm;accountability,45_54,employed_full_time,bachelors_degree,uk,man,4,,,
yes,often,5,5,7,7,family;honesty_integrity;responsibility,Family,6,7,7,1,6,7,7,5,7,none,5,5,5,5,5,7,3,3,1,1,1,1,1,5,1,1,5,honesty;respect;non_harm,25_34,employed_part_time,high_school,uk,woman,6,,,
yes,very_often,6,5,5,5,independence;creativity;adventure,Doing my own thing,4,5,3,6,4,4,5,2,3,purpose_direction,3,4,4,4,4,6,6,5,5,5,4,5,6,5,5,4,6,transparency,45_54,self_employed,bachelors_degree,uk,man,6,,,
yes,often,6,5,4,5,family;achievement_growth;compassion,"That I am able to continually find ways to learn, grow, and develop into a fuller, more experienced person that has more to offer.",5,5,5,3,6,6,4,4,3,health;relationships;work_career;finances;purpose_direction,2,3,3,3,4,5,4,5,3,6,3,2,2,6,4,6,6,human_wellbeing;transparency;accountability,35_44,employed_full_time,bachelors_degree,ca,man,4,,,
yes,everyday,5,6,4,5,family;honesty_integrity;health,My families health and happiness,6,5,5,2,6,5,3,3,4,finances;none,4,4,5,4,4,5,3,3,4,3,2,4,6,3,2,5,6,fairness;human_wellbeing;accountability,45_54,employed_full_time,high_school,uk,man,5,,,
yes,occasionally,7,7,7,7,honesty_integrity;health;independence,Family,7,5,5,5,4,6,1,1,1,digital_habits;purpose_direction,4,4,2,1,4,7,2,1,5,7,4,2,1,7,7,7,7,empathy;respect;transparency,45_54,employed_full_time,bachelors_degree,uk,woman,6,,,
yes,occasionally,5,5,6,5,honesty_integrity;compassion;adventure,feeling happy,3,2,4,3,4,6,2,3,4,health;time_focus;relationships;finances;purpose_direction,2,2,2,1,3,4,4,5,4,5,5,5,1,7,5,5,6,fairness;responsibility;non_harm,25_34,employed_full_time,some_university_college,uk,woman,3,,,
yes,sometimes,6,4,5,6,family;health;independence,Family,5,5,4,4,4,4,5,5,6,health;relationships;purpose_direction,3,3,2,2,2,5,3,5,4,5,5,6,2,6,5,5,5,honesty;responsibility;non_harm,35_44,employed_full_time,bachelors_degree,uk,man,4,,,
yes,often,5,6,6,6,family;security_stability;responsibility,Being healthy and having good family relationships,6,6,6,3,5,6,2,4,3,none,4,4,4,3,4,6,2,3,3,3,4,3,5,6,4,5,6,honesty;fairness;accountability,over_65,not_currently_working,high_school,uk,woman,6,,,
yes,everyday,6,6,5,6,honesty_integrity;health;creativity,Peace,6,6,4,4,5,5,3,5,2,work_career;finances,4,4,4,3,3,6,5,5,5,5,5,6,4,5,6,4,6,honesty;non_harm;accountability,35_44,employed_full_time,postgraduate_degree,uk,woman,5,,,
yes,everyday,7,7,6,7,honesty_integrity;achievement_growth;responsibility,Personal Growth,6,4,5,6,7,5,6,5,5,none,4,3,4,3,4,6,1,4,4,5,5,5,5,7,7,7,7,honesty;non_harm;transparency,35_44,employed_full_time,bachelors_degree,ca,man,6,,,
yes,everyday,5,5,6,6,family;security_stability;health,Helping others,3,4,4,4,5,4,3,5,5,,4,4,3,3,3,4,2,5,4,3,2,3,4,6,3,5,5,honesty;fairness;transparency,18_24,self_employed,some_university_college,ca,man,4,,Spirituality,
yes,occasionally,6,6,7,6,family;honesty_integrity;security_stability,My close family,5,5,5,3,5,6,2,2,4,health;work_career;finances,4,4,3,3,4,6,3,3,3,3,3,2,3,6,4,6,6,honesty;non_harm;transparency,45_54,employed_part_time,some_university_college,uk,woman,6,,,
yes,sometimes,6,6,6,6,family;honesty_integrity;responsibility,"a comfortable, secure existance",7,6,6,3,5,6,2,2,2,none,4,4,4,4,5,6,3,2,2,5,5,3,5,6,5,6,6,honesty;fairness;non_harm,over_65,not_currently_working,high_school,uk,man,6,,,
yes,occasionally,5,6,5,6,family;honesty_integrity;compassion,Family and relationships,6,6,6,3,7,7,1,2,3,digital_habits;finances,4,3,3,2,4,6,5,2,3,7,3,3,2,7,7,5,3,human_wellbeing;non_harm;transparency,25_34,student,postgraduate_degree,ca,man,6,,,
yes,occasionally,7,7,5,6,family;honesty_integrity;faith_spirituality,Being a Muslim,6,5,7,2,5,6,2,7,7,time_focus;relationships;purpose_direction,4,2,3,4,3,6,6,6,7,6,7,7,5,2,4,2,6,non_harm;transparency;accountability,35_44,not_currently_working,bachelors_degree,uk,woman,3,,,
yes,often,7,6,6,7,family;compassion;community_contribution,What matters most to me is trying to make my small corner of the world a better place and living with compassion and empathy.,7,5,5,3,4,6,2,2,3,work_career;finances,4,3,2,2,5,6,3,6,4,2,1,2,1,5,3,6,7,empathy;non_harm;accountability,55_65,self_employed,some_university_college,us,woman,5,,,
yes,often,7,7,6,6,family;honesty_integrity,"That what I do is in line with who I am, and that who I am is someone that I should be. And that I treat those I love with love too, and everyone fairly, including myself.",7,6,6,2,6,5,3,7,4,time_focus,3,3,4,2,5,6,3,1,3,6,5,5,5,6,5,7,7,fairness;respect;human_wellbeing,25_34,student,bachelors_degree,uk,woman,5,Fairness/Justice,,
yes,everyday,6,6,6,7,family;security_stability;health,My Family.,3,3,4,5,3,6,2,2,2,work_career;purpose_direction,3,4,3,2,3,6,5,5,2,2,2,2,2,5,3,6,6,honesty;responsibility;human_wellbeing,45_54,employed_part_time,bachelors_degree,uk,woman,5,,,
yes,very_often,6,5,5,6,honesty_integrity;achievement_growth;responsibility,Trust breeds magic,4,5,5,4,6,5,3,5,4,relationships;work_career,3,3,2,3,3,4,5,3,3,7,7,7,4,4,7,6,6,honesty;transparency;accountability,35_44,not_currently_working,bachelors_degree,uk,man,4,,,
yes,rarely,6,6,7,6,family;honesty_integrity;responsibility,Being able to feel good about myself,5,5,6,1,7,7,1,2,2,relationships;work_career;purpose_direction,4,3,4,3,4,7,2,2,1,5,4,3,1,7,7,7,7,honesty;fairness;responsibility,55_65,employed_full_time,bachelors_degree,ca,man,6,,,
yes,occasionally,5,4,6,6,honesty_integrity;compassion;community_contribution,Being true to myself,4,3,1,5,3,5,2,2,2,none,4,4,2,2,3,3,3,5,2,3,3,2,1,6,7,4,4,fairness;responsibility;transparency,25_34,not_currently_working,some_university_college,uk,woman,4,,,
yes,occasionally,5,6,6,5,family;health;compassion,Having good health,5,4,5,2,4,4,2,3,2,health;work_career;finances,3,3,2,3,3,6,4,3,2,5,4,3,4,5,4,5,5,honesty;empathy;human_wellbeing,45_54,employed_full_time,some_university_college,uk,woman,4,,,
yes,everyday,6,6,6,6,family;health;compassion,My family,6,6,4,2,5,6,2,3,4,health;finances,4,4,2,2,4,6,3,2,2,4,5,3,6,4,3,5,5,honesty;empathy;transparency,45_54,employed_part_time,some_university_college,uk,woman,4,,,
yes,very_often,6,5,7,6,family;security_stability;faith_spirituality,My family and my kids are the most important to me. The are my motivators and make me work harder. And my relationship with god is a big factor for my life and goals. And for the position I'm put in.,6,7,7,1,6,6,2,3,2,health;time_focus;work_career;digital_habits,4,4,5,3,5,6,4,5,2,5,3,4,5,3,7,6,5,honesty;responsibility;transparency,45_54,not_currently_working,some_university_college,us,woman,5,,,
yes,sometimes,3,3,5,5,family;honesty_integrity;responsibility,Being a good person,2,2,3,6,2,6,1,1,5,health;relationships;work_career,1,2,1,1,1,5,5,6,2,6,2,4,5,5,6,6,6,honesty;empathy,55_65,employed_part_time,postgraduate_degree,uk,man,2,,,truth
yes,very_often,5,5,6,6,independence;creativity;adventure,pleasure,6,6,6,6,6,6,6,6,7,work_career;digital_habits;purpose_direction,4,4,3,3,5,5,3,4,3,5,4,4,5,5,5,6,6,fairness;responsibility;non_harm,25_34,employed_full_time,postgraduate_degree,uk,woman,6,,,
yes,sometimes,6,5,3,6,compassion;community_contribution;adventure,To be happy.,4,4,5,3,5,5,2,4,4,time_focus;work_career;finances;purpose_direction,4,4,3,3,3,5,4,2,2,5,5,5,3,5,5,4,4,non_harm;transparency;accountability,45_54,employed_full_time,some_university_college,us,woman,5,,,
yes,everyday,6,6,5,6,family;honesty_integrity;health,My wife and daughter.,5,5,5,6,6,5,2,4,4,digital_habits,4,3,3,3,3,4,5,5,5,5,5,5,5,4,5,6,6,honesty;non_harm;transparency,35_44,employed_full_time,high_school,uk,man,5,,,
yes,everyday,7,7,7,7,honesty_integrity;achievement_growth;health,Peace,7,7,7,1,7,6,1,2,2,relationships;digital_habits,4,4,4,4,4,7,1,1,1,3,2,2,2,7,5,6,6,honesty;empathy;human_wellbeing,18_24,self_employed,some_university_college,uk,man,5,,,
yes,occasionally,7,6,4,6,family;honesty_integrity;compassion,Family,7,7,7,4,7,7,2,2,2,none,5,4,4,4,5,6,4,5,2,6,4,2,4,3,4,4,5,human_wellbeing;non_harm;accountability,55_65,employed_full_time,some_university_college,uk,woman,6,,,
yes,rarely,6,6,3,6,honesty_integrity;independence;creativity,"Freedom. To be able to be myself in every situation, no outside coercion.",1,4,1,7,4,7,1,1,1,relationships,4,4,5,5,4,7,1,1,1,6,4,4,1,7,7,4,4,,35_44,employed_part_time,bachelors_degree,uk,man,5,,,It's humans programming it and so those people should be honest; fair and transparent - but they won't. They want to make a product and profit.
yes,sometimes,7,7,6,7,family;honesty_integrity;responsibility,My family and there well-being.,7,7,7,1,7,7,1,2,2,relationships;digital_habits,4,4,4,3,4,7,1,1,1,4,4,2,4,6,5,7,7,honesty;fairness;transparency,25_34,employed_full_time,some_university_college,uk,man,6,,,
yes,sometimes,7,7,7,7,family;honesty_integrity;health,My family.,5,5,5,2,6,5,2,2,3,digital_habits;finances,3,3,2,3,2,5,2,5,1,5,6,3,2,7,7,7,7,honesty;respect;transparency,25_34,not_currently_working,postgraduate_degree,uk,man,5,,,
yes,occasionally,7,7,6,6,achievement_growth;security_stability;adventure,stability,6,3,4,1,5,4,1,2,6,health;work_career;digital_habits,4,4,3,3,3,6,2,2,2,6,4,1,1,6,7,5,7,empathy;non_harm;transparency,25_34,not_currently_working,bachelors_degree,us,woman,5,,,
yes,sometimes,6,6,6,6,family;honesty_integrity;health,my family,3,3,3,2,2,5,3,5,5,work_career,3,3,3,3,2,6,1,3,4,5,5,5,2,7,6,4,4,human_wellbeing;non_harm;transparency,45_54,employed_full_time,postgraduate_degree,us,man,4,,,
yes,very_often,7,7,7,7,honesty_integrity;responsibility;faith_spirituality,children,7,7,7,1,7,7,1,1,1,relationships;work_career,5,5,5,5,5,7,7,1,1,1,1,1,7,1,1,7,7,fairness;responsibility;transparency,55_65,employed_full_time,postgraduate_degree,ca,woman,7,,,
yes,very_often,6,6,6,6,family;achievement_growth;compassion,My family,5,3,4,3,4,3,5,7,6,health;relationships;finances,3,4,4,2,3,5,2,5,2,7,7,6,5,5,6,3,4,fairness;non_harm;transparency,25_34,employed_full_time,bachelors_degree,uk,woman,3,,,
yes,everyday,7,5,7,7,family;achievement_growth;responsibility,"My family is the most important thing to me, and also my finances is a core component of how I perceive my identity.",4,7,5,1,5,7,1,1,3,relationships;work_career;finances,3,2,4,1,5,7,1,3,1,5,5,7,6,5,4,7,7,honesty;empathy;non_harm,25_34,self_employed,bachelors_degree,us,woman,4,,,
yes,occasionally,7,6,7,7,family;honesty_integrity;compassion,my wife,6,7,7,1,6,6,1,1,1,work_career;finances,5,5,2,5,5,7,1,1,1,1,1,1,4,1,2,3,3,honesty;responsibility;transparency,35_44,employed_full_time,high_school,us,man,6,,,
yes,often,6,6,6,6,family;honesty_integrity;health,Family,5,5,5,4,4,5,3,5,3,digital_habits,4,3,4,2,2,5,4,5,5,4,4,4,2,6,6,5,6,fairness;responsibility;human_wellbeing,55_65,employed_full_time,bachelors_degree,uk,woman,5,,,
yes,often,5,6,5,6,family;honesty_integrity;independence,The ability to be a good and independent person who values Family/Friendship connections.,6,6,5,3,6,6,7,6,2,none,4,4,5,4,4,4,2,2,3,1,3,2,4,4,4,5,5,honesty;empathy;respect,25_34,employed_full_time,bachelors_degree,uk,man,5,,,
yes,very_often,7,7,7,7,family;health;compassion,My Children,7,7,7,1,7,7,1,1,1,none,5,5,3,3,5,7,1,1,1,1,1,1,1,7,3,7,7,honesty;empathy;non_harm,25_34,not_currently_working,some_university_college,uk,woman,7,,,
yes,everyday,6,6,5,7,family;honesty_integrity;independence,"Supporting my family and closest friends, treating others with respect.",5,5,5,3,6,7,2,3,3,relationships;digital_habits,5,5,4,3,4,7,2,2,2,4,5,4,3,6,5,5,6,human_wellbeing;non_harm;transparency,45_54,self_employed,postgraduate_degree,uk,man,7,,,
yes,often,7,7,5,6,honesty_integrity;independence;creativity,My kids,5,5,5,4,5,3,4,4,4,relationships;finances,4,3,5,4,3,6,2,2,3,7,6,5,4,6,4,5,7,responsibility;human_wellbeing;accountability,45_54,self_employed,postgraduate_degree,uk,woman,5,,,
yes,very_often,6,6,6,5,honesty_integrity;achievement_growth;adventure,enjoying my time on earth and making the most of my life; fun experiences,2,4,5,2,4,6,2,2,5,time_focus;finances;purpose_direction,3,3,3,2,2,5,4,6,7,7,4,6,2,7,7,3,4,honesty;responsibility;non_harm,25_34,employed_full_time,postgraduate_degree,uk,woman,4,,,
yes,often,5,6,5,5,family;honesty_integrity;security_stability,Happiness,4,3,3,7,2,3,4,5,5,health;relationships;work_career;digital_habits;purpose_direction,2,3,2,3,2,4,5,5,4,5,5,4,4,6,6,6,6,fairness;human_wellbeing;non_harm,45_54,employed_part_time,some_university_college,ca,man,4,,,
yes,occasionally,6,6,5,6,family;health;adventure,My family,7,6,5,2,6,6,1,2,2,work_career;digital_habits;finances,5,4,4,2,4,7,2,1,1,5,6,5,2,6,6,6,7,honesty;empathy;respect,35_44,employed_full_time,bachelors_degree,uk,woman,6,,,
yes,sometimes,6,4,4,5,family;independence;community_contribution,Providing care for my family.,6,5,5,4,4,5,2,4,4,none,3,3,2,3,4,5,2,4,3,4,2,3,4,6,4,4,5,empathy;responsibility;non_harm,over_65,not_currently_working,some_university_college,uk,man,4,,,
yes,occasionally,6,7,5,6,family;security_stability;responsibility,Looking after my family and 2 young boys,7,5,6,2,6,6,2,3,2,work_career;digital_habits,3,2,4,3,4,5,2,2,2,4,3,1,5,6,4,5,6,honesty;respect;human_wellbeing,25_34,employed_part_time,bachelors_degree,uk,woman,5,,,
yes,often,5,5,5,4,honesty_integrity;health;adventure,Health,1,5,4,5,4,4,4,4,5,health;time_focus;relationships,4,3,4,3,3,5,4,4,6,5,4,4,4,4,5,4,4,responsibility;transparency;accountability,25_34,employed_full_time,bachelors_degree,us,woman,5,,,
yes,sometimes,7,6,7,6,family;honesty_integrity;faith_spirituality,My family and my feelings,3,1,2,2,1,3,5,4,2,time_focus;work_career;purpose_direction,3,3,3,2,4,7,2,4,1,5,1,1,1,7,4,5,3,honesty;non_harm;transparency,35_44,employed_full_time,bachelors_degree,ca,woman,5,,,
yes,everyday,7,6,6,6,family;health;responsibility,family,7,7,6,2,7,6,7,4,3,time_focus,5,4,5,5,5,7,6,7,7,6,7,5,6,7,3,6,5,honesty;empathy;fairness,25_34,employed_full_time,bachelors_degree,ca,woman,6,,,
yes,sometimes,6,6,6,6,family;honesty_integrity;compassion,My family.,5,5,5,2,5,6,2,3,4,health,3,3,3,3,4,5,3,3,3,5,4,4,2,7,5,7,7,empathy;human_wellbeing;transparency,35_44,employed_full_time,bachelors_degree,us,man,4,,,
yes,everyday,6,7,7,7,family;health;responsibility,My kids happiness.,7,7,6,2,7,7,6,4,2,work_career;digital_habits,5,5,5,5,5,6,4,2,2,5,2,2,2,6,3,7,6,fairness;transparency,35_44,employed_part_time,bachelors_degree,uk,woman,6,,,
yes,everyday,7,6,6,6,honesty_integrity;compassion;independence,health,6,5,5,3,5,6,2,2,2,health;work_career;finances,4,4,2,4,4,7,2,2,2,1,1,2,5,4,3,7,7,honesty;fairness;transparency,45_54,employed_full_time,some_university_college,uk,man,6,,,
yes,sometimes,7,7,7,7,security_stability;health;faith_spirituality,spirituality,7,7,7,1,7,7,7,1,1,none,5,5,5,5,5,7,1,1,1,1,1,1,1,7,1,7,7,respect;human_wellbeing;non_harm,25_34,employed_full_time,some_university_college,us,woman,7,,,
yes,rarely,6,5,7,6,family;honesty_integrity;responsibility,My children and extended family.,6,5,5,2,4,6,2,3,4,relationships;work_career;finances,4,4,3,4,3,6,2,3,3,3,1,2,1,7,5,7,7,honesty;fairness;human_wellbeing,55_65,employed_full_time,bachelors_degree,uk,woman,6,,,
yes,very_often,5,6,5,5,family;security_stability;health,Providing for my family and my young daughter. Giving her a good upbringing and a good life.,5,5,6,2,6,6,3,4,5,time_focus;relationships;purpose_direction,2,2,3,3,2,5,1,4,3,5,5,5,6,5,5,4,5,honesty;transparency;accountability,35_44,employed_full_time,some_university_college,uk,man,3,,,
yes,everyday,6,5,6,6,family;honesty_integrity;independence,Family and my independance,6,6,5,3,5,6,1,1,1,relationships,3,3,2,2,3,6,2,2,1,5,3,2,5,5,1,5,5,non_harm;transparency;accountability,45_54,not_currently_working,postgraduate_degree,uk,man,4,,,
yes,rarely,7,6,7,7,honesty_integrity;security_stability;compassion,Making an impact on people's lives,6,4,6,1,6,6,1,6,3,health;finances,4,3,2,2,4,7,2,1,1,3,1,1,2,7,5,3,5,honesty;fairness;non_harm,25_34,student,postgraduate_degree,uk,woman,6,,,
yes,sometimes,6,5,5,6,honesty_integrity;independence;adventure,Independence,4,3,3,5,2,6,3,2,2,relationships,3,5,4,4,3,6,2,2,1,1,2,2,5,6,3,4,6,honesty;fairness;transparency,25_34,employed_part_time,some_university_college,ca,man,5,,,
yes,everyday,5,5,4,4,security_stability;compassion;independence,"My own independence, so I feel like I'm my own person",3,4,4,5,4,4,5,6,5,time_focus;relationships;purpose_direction,2,2,3,3,3,5,4,4,4,5,5,5,5,4,4,4,5,fairness;respect;transparency,35_44,employed_full_time,some_university_college,uk,man,3,,,
yes,everyday,6,6,5,5,family;achievement_growth;health,That I continue to learn and grow in knowledge,6,6,5,2,6,6,1,3,3,health;time_focus;finances,5,5,4,5,5,6,2,2,3,3,3,3,5,4,6,5,6,non_harm;transparency;accountability,over_65,not_currently_working,some_university_college,us,woman,7,,,
yes,rarely,5,5,5,5,family;achievement_growth;health,Probably my Partner,5,6,4,3,3,6,5,7,2,health;relationships;finances,4,3,3,2,4,5,4,5,3,6,3,4,2,5,3,6,5,honesty;fairness;human_wellbeing,18_24,student,high_school,uk,woman,5,,,
yes,very_often,6,6,5,6,family;achievement_growth;health,What matters most to me in life is personal fulfillment. I realize that is different for everyone.,6,6,6,2,6,6,1,3,2,none,4,4,4,3,4,6,4,3,2,3,2,2,5,4,4,5,6,fairness;transparency;accountability,35_44,employed_full_time,postgraduate_degree,us,woman,6,,,
yes,everyday,7,4,5,7,honesty_integrity;health;compassion,Friends,2,2,1,7,2,4,2,1,7,none,3,2,3,1,3,4,1,5,2,4,1,3,1,7,7,7,7,responsibility;non_harm;transparency,18_24,employed_part_time,some_university_college,ca,prefer_not_to_say,1,,,
yes,rarely,6,6,6,6,security_stability;independence;creativity,Stability,3,5,2,3,2,6,2,4,4,health;work_career;purpose_direction,3,4,2,4,4,6,1,2,1,2,1,2,1,7,6,5,5,honesty;empathy;fairness,35_44,self_employed,postgraduate_degree,ca,woman,4,,,
yes,rarely,6,5,6,5,family;health;responsibility,My family,5,3,3,4,3,6,3,3,5,health,3,3,2,3,3,5,3,3,3,5,3,4,3,5,5,5,5,honesty;fairness;human_wellbeing,over_65,not_currently_working,bachelors_degree,uk,woman,5,,,
yes,rarely,7,7,6,6,family;honesty_integrity;faith_spirituality,My personal relationship with God and my family,6,5,7,1,6,7,2,3,3,time_focus;digital_habits;finances,4,4,4,5,5,7,2,4,3,4,2,3,1,7,5,4,7,honesty;responsibility;non_harm,45_54,not_currently_working,some_university_college,us,woman,6,,,
yes,everyday,6,6,6,5,family;honesty_integrity;security_stability,being mentally well,4,3,5,5,5,3,6,5,5,work_career;finances;purpose_direction,3,3,2,3,2,6,4,6,5,6,6,6,6,4,5,5,5,honesty;empathy;human_wellbeing,25_34,not_currently_working,bachelors_degree,uk,woman,4,,,
yes,sometimes,5,5,3,3,security_stability;compassion;independence,to live freely and bring kindness to others,2,2,2,7,5,2,6,7,7,time_focus;relationships;work_career;digital_habits;finances;purpose_direction,3,4,2,4,3,5,6,6,6,7,7,6,2,7,7,5,6,empathy;fairness;accountability,18_24,not_currently_working,bachelors_degree,us,woman,3,,,
yes,everyday,5,5,6,4,family;security_stability;health,Family,6,5,5,7,5,4,6,5,6,relationships;digital_habits;purpose_direction,4,4,4,3,3,6,5,5,6,7,6,6,4,7,5,6,7,honesty;fairness;transparency,45_54,employed_part_time,postgraduate_degree,uk,man,5,,,
